2025.05.29 16:04:06 INFO  no build target found for C:\Users\SHP\OneDrive\Escritorio\a\Carpetas\Universidad\Septimo semestre\Desarrollo III\delivery-routing-service-softdev\src\main\java\com\softdev\delivery_routing\use_cases\service\dtos\package-info.java. Using fallback presentation compiler.
2025.05.29 16:04:07 INFO  no build target found for C:\Users\SHP\OneDrive\Escritorio\a\Carpetas\Universidad\Septimo semestre\Desarrollo III\delivery-routing-service-softdev\src\main\java\com\softdev\delivery_routing\use_cases\service\dtos\package-info.java. Using fallback presentation compiler.
2025.05.29 16:04:07 INFO  no build target found for C:\Users\SHP\OneDrive\Escritorio\a\Carpetas\Universidad\Septimo semestre\Desarrollo III\delivery-routing-service-softdev\src\main\java\com\softdev\delivery_routing\use_cases\service\dtos\package-info.java. Using fallback presentation compiler.
2025.05.29 16:04:07 INFO  no build target found for C:\Users\SHP\OneDrive\Escritorio\a\Carpetas\Universidad\Septimo semestre\Desarrollo III\delivery-routing-service-softdev\src\main\java\com\softdev\delivery_routing\use_cases\service\dtos\package-info.java. Using fallback presentation compiler.
2025.05.29 16:04:07 INFO  no build target found for C:\Users\SHP\OneDrive\Escritorio\a\Carpetas\Universidad\Septimo semestre\Desarrollo III\delivery-routing-service-softdev\src\main\java\com\softdev\delivery_routing\use_cases\service\dtos\package-info.java. Using fallback presentation compiler.
2025.05.29 16:04:07 INFO  no build target found for C:\Users\SHP\OneDrive\Escritorio\a\Carpetas\Universidad\Septimo semestre\Desarrollo III\delivery-routing-service-softdev\src\main\java\com\softdev\delivery_routing\use_cases\service\dtos\package-info.java. Using fallback presentation compiler.
2025.05.29 16:04:07 INFO  no build target found for C:\Users\SHP\OneDrive\Escritorio\a\Carpetas\Universidad\Septimo semestre\Desarrollo III\delivery-routing-service-softdev\src\main\java\com\softdev\delivery_routing\use_cases\service\dtos\package-info.java. Using fallback presentation compiler.
2025.05.29 16:04:07 INFO  no build target found for C:\Users\SHP\OneDrive\Escritorio\a\Carpetas\Universidad\Septimo semestre\Desarrollo III\delivery-routing-service-softdev\src\main\java\com\softdev\delivery_routing\use_cases\service\dtos\package-info.java. Using fallback presentation compiler.
2025.05.29 16:04:07 INFO  no build target found for C:\Users\SHP\OneDrive\Escritorio\a\Carpetas\Universidad\Septimo semestre\Desarrollo III\delivery-routing-service-softdev\src\main\java\com\softdev\delivery_routing\use_cases\service\dtos\package-info.java. Using fallback presentation compiler.
2025.05.29 16:04:07 INFO  no build target found for C:\Users\SHP\OneDrive\Escritorio\a\Carpetas\Universidad\Septimo semestre\Desarrollo III\delivery-routing-service-softdev\src\main\java\com\softdev\delivery_routing\use_cases\service\dtos\package-info.java. Using fallback presentation compiler.
2025.05.29 16:04:08 INFO  no build target found for C:\Users\SHP\OneDrive\Escritorio\a\Carpetas\Universidad\Septimo semestre\Desarrollo III\delivery-routing-service-softdev\src\main\java\com\softdev\delivery_routing\use_cases\service\dtos\package-info.java. Using fallback presentation compiler.
2025.05.29 16:04:08 INFO  no build target found for C:\Users\SHP\OneDrive\Escritorio\a\Carpetas\Universidad\Septimo semestre\Desarrollo III\delivery-routing-service-softdev\src\main\java\com\softdev\delivery_routing\use_cases\service\dtos\package-info.java. Using fallback presentation compiler.
2025.05.29 16:04:08 INFO  no build target found for C:\Users\SHP\OneDrive\Escritorio\a\Carpetas\Universidad\Septimo semestre\Desarrollo III\delivery-routing-service-softdev\src\main\java\com\softdev\delivery_routing\use_cases\service\dtos\package-info.java. Using fallback presentation compiler.
may 29, 2025 4:04:09 P. M. org.eclipse.lsp4j.jsonrpc.RemoteEndpoint handleCancellation
WARNING: Unmatched cancel notification for request id 144
2025.05.29 16:04:08 INFO  no build target found for C:\Users\SHP\OneDrive\Escritorio\a\Carpetas\Universidad\Septimo semestre\Desarrollo III\delivery-routing-service-softdev\src\main\java\com\softdev\delivery_routing\use_cases\service\dtos\package-info.java. Using fallback presentation compiler.
2025.05.29 16:04:08 INFO  no build target found for C:\Users\SHP\OneDrive\Escritorio\a\Carpetas\Universidad\Septimo semestre\Desarrollo III\delivery-routing-service-softdev\src\main\java\com\softdev\delivery_routing\use_cases\service\dtos\package-info.java. Using fallback presentation compiler.
2025.05.29 16:04:09 INFO  no build target found for C:\Users\SHP\OneDrive\Escritorio\a\Carpetas\Universidad\Septimo semestre\Desarrollo III\delivery-routing-service-softdev\src\main\java\com\softdev\delivery_routing\use_cases\service\dtos\package-info.java. Using fallback presentation compiler.
2025.05.29 16:04:10 INFO  no build target found for C:\Users\SHP\OneDrive\Escritorio\a\Carpetas\Universidad\Septimo semestre\Desarrollo III\delivery-routing-service-softdev\src\main\java\com\softdev\delivery_routing\use_cases\service\dtos\package-info.java. Using fallback presentation compiler.
2025.05.29 16:04:10 INFO  no build target found for C:\Users\SHP\OneDrive\Escritorio\a\Carpetas\Universidad\Septimo semestre\Desarrollo III\delivery-routing-service-softdev\src\main\java\com\softdev\delivery_routing\use_cases\service\dtos\package-info.java. Using fallback presentation compiler.
2025.05.29 16:04:10 INFO  no build target found for C:\Users\SHP\OneDrive\Escritorio\a\Carpetas\Universidad\Septimo semestre\Desarrollo III\delivery-routing-service-softdev\src\main\java\com\softdev\delivery_routing\use_cases\service\dtos\package-info.java. Using fallback presentation compiler.
